id	kind	verdict	source	reason
af909752b0d7	unread-field	yes	judge:opus-5.5	runtimeDetails is an optional type-only field that nothing in src, tools or test writes or reads, so removing it loses no behaviour or guarantee.
48ef39ee612d	single-reader-export	no	judge:opus-5.5	judge-framing.ts is documented as the single owner of Judge model-visible text, separate from transport, and judge.ts is already 560 lines against the 600-line limit.
530167e4923d	superseded-schema-tag	no	judge:opus-5.5	select-best-runs.mjs reads recorded openings, and campaign-opening/v1 is the schema the controller currently writes, so dropping it would reject every real run.
fa166d6848d2	rule-without-fixture	no	judge:opus-5.5	no-array-filter-map is a vendored generic anti-slop rule live at error across the tree, and the repository writes fixture tests only for its own ana rules.
5743a68b3def	unread-field	yes	judge:opus-5.5	The optional `verificationSurvey?: JsonValue` field is only a type annotation (its comment says no check reads it), and no validator or reader at 056c68e62 names it, so removing it changes no runtime behaviour.
c3b6a904d19c	test-only-module	no	judge:opus-5.5	trace-sweep.mjs is an operator script that whole-run-investigation/SKILL.md tells the reader to run, so it is live tooling, not dead product code.
4ac80cd0b177	test-only-export	yes	judge:opus-5.5	`nextFailedBuildRounds` is marked @deprecated as a compatibility projection that the terminal replaced with `nextUnresolvedAuthoringStall`, and only its test calls it.
aea693a54abd	unproduced-set-member	yes	judge:opus-5.5	No producer or test at 6806d8d42 spells `external-verifier-output`, and the union is a type only (no runtime list or Record keyed on it), so dropping the member loses nothing.
3f7408408fac	compatibility-path	no	judge:opus-5.5	The legacy suffixes keep batteries recorded before 2026-09-04 readable and exempt from the record requirement, and AGENTS.md requires historical evidence to stay readable, so the code cannot be deleted outright.
f6613d9c191b	copied-block	yes	judge:opus-5.5	Both functions build nearest-prototype vectors from name-to-texts entries in the same way, and query-complexity already imports `nearest` and `modelEmbed` from prose-classify, so one exported prototype builder beside `nearest` is the natural single owner.
f549a5290fac	unproduced-set-member	yes	judge:opus-5.5	`judge-disagreement` is a type-only member of the closed finding vocabulary that no source produces or validates at runtime; only one routing test and prose name it, and those lines go with it.
eb375e64e809	test-only-export	yes	judge:opus-5.5	Nothing in src calls `refreshOpenAICodexToken` (login-state.ts says the native app-server refreshes the Codex token itself), so the export and its test assertions are dead in the product.
7fc647da1967	superseded-schema-tag	no	judge:opus-5.5	`CURRENT_LOOP_SCHEMAS` reads recorded v4 analysis files as members of the same loop, so dropping v4 would misclassify older recorded evidence that must stay readable.
ec28b4ed7917	orphan-module	yes	judge:opus-5.5	Nothing runs this one-off pre-Bun migration audit (no package script, import or skill names it; record.yaml only lists it in a manifest), and the Bun-only migration it policed is finished.
c1aefa303c6a	rule-without-fixture	no	judge:opus-5.5	No anti-slop rule has a test fixture under test/ and no-unknown-returns gates at error in both oxlintrc files, so removal is wrong and a one-rule fixture singles out nothing this rule lacks that its fourteen siblings have.
b3800998f505	orphan-module	no	judge:opus-5.5	It is the node:test suite for watch-contract.mjs, which the skill's documented commands use; the gap is an unwired runner, and deleting it removes the script's only tests rather than dead code.
79010a20b320	identity-without-owner	no	judge:opus-5.5	The path is one writer (judge-phase.ts) and one reader whose sibling paths like cases/<id>/public-task.json are also literals; a constant for this one path adds indirection without removing a real duplicate.
e5ee030d34aa	unproduced-set-member	no	judge:opus-5.5	DifficultyMoveCause types the persisted difficulty-decision/v2 record, and its comment deliberately keeps the older labels because earlier v2 records carry them; removing one also leaves saturation-broaden, so a prune would have to cover both and the comment.
ab3732a3976c	superseded-schema-tag	no	judge:opus-5.5	LEGACY_BUILDER_EXECUTION_SCHEMAS is read by tools/outcome/builder-execution-facts.ts to parse recorded builder-execution records, and historical evidence must stay readable.
7cfe3f4c78a1	compatibility-path	no	judge:opus-5.5	LEGACY_ROWS_MISSING lets the reader accept terminals sealed under the pre-2026-08-23 rule (esp32-w22, esp32-sol arm C) instead of refusing them as disagreements, so deleting it breaks reading recorded evidence.
84c64fffb35e	unproduced-set-member	yes	judge:opus-5.5	The UI's SteeringObservation is built in-process by readers.ts, which never emits critic-finding and nothing renders it, so the member is dead type surface (user-directive, outer-repair, runtime-nudge and hook are equally unproduced and should go with it).
dcc36541a70b	identity-without-owner	no	judge:opus-5.5	The repetition is the whole registry-resolution block (path, existsSync, operator-profile precedence, parse) copied in eval-runner, solvability and probes; the right form is one shared resolver function, not a named path constant.
1b51bd8c25f3	single-reader-export	yes	judge:opus-5.5	engineCellEnv is a 20-line helper split out only to settle a size finding, host.ts is its sole caller with a frozen limit of 1149 against 522 nonblank lines, and the skill refuses sibling modules made to sit outside a count.
b536a6482626	single-reader-export	no	judge:opus-5.5	closeControllerRun is a cohesive seal-and-release unit with its own imports; full-run.ts has no size pressure forcing either way, and merging it into the main loop file would not clearly read better.
5874c6922c38	identity-without-owner	yes	judge:opus-5.5	The parent (solvability.ts REFERENCE_SOLVE_PROTOCOL) and the confined child spell the same wire-protocol version, a fact that must agree on both sides, so one exported constant (with READY alongside) should own it.
92a77dadb7f0	compatibility-path	no	judge:opus-5.5	preGuideLegacyBundle/legacyCandidateContext decide exemptions for continued epochs whose recorded workspace predates the guide and published-rules contracts, and it is live in builder-campaign.ts, so deleting it outright would change resume behaviour for those campaigns rather than remove dead code.
9e9735648371	test-only-export	no	judge:opus-5.5	gateRows is a one-line test convenience over auditRows, and the test exercises the live gate logic through it; the right form is to inline it into the test (auditRows(...).queue messages), not delete it with its test.
f3e3d609c1bf	test-only-export	yes	judge:opus-5.5	groundingDefect has no caller in src or tools at this revision despite its comment claiming the brief validator shares it, so the export and its truth-side test cases are dead and should go together.
0a16b9b3edca	single-reader-export	yes	judge:opus-5.5	codex-app-server-protocol.ts holds one 20-line pure classifier whose only reader is codex-app-server.ts (493 lines, under the limit) and has no direct test, so moving it and its comment into the reader removes a file without losing anything.
ab2e6e9fada7	test-only-export	yes	judge:opus-5.5	withKickoffDifficulty has no production caller (the prescribed-difficulty kickoff writer was removed from the loop), so the writer and its two test cases go together while the parser stays.
79bb9714306f	test-only-module	no	judge:opus-5.5	trace-challenge.mjs is a CLI script the whole-run-investigation skill runs (SKILL.md line 218) and whose output build-manifest.mjs reads, so it is not test-only.
0a115c1e3ad9	superseded-schema-tag	no	judge:opus-5.5	tools/outcome/judge.ts is a read-only report over recorded evidence, and v6 to v9 are recorded review schemas that must stay readable; removing them would make historical runs unreadable.
e4d3d25b0b66	test-only-export	yes	judge:opus-5.5	The product imports only attestReadRootFile from read-root-attestation.ts, so readRootMetadataMatches (and the readRootMetadataCheck behind it) is a dead revalidation path whose tests should go with it.
4e523f8045dc	copied-block	no	judge:opus-5.5	The legacy module validates frozen archived shapes while the current module's header explicitly keeps the v4 boundary independent, so one shared customTarget would couple an archived contract to a current one that may change.
27352c9bbb4d	rule-without-fixture	no	judge:opus-5.5	The rule is registered at error in both oxlint configs and fires in the live tree (src/solve/draft-tool.ts carries a disable for it), and no anti-slop rule has a fixture, so this one is not a special case to remove or single out.
c79fb6b2bd6f	copied-block	no	judge:opus-5.5	The judge-domain copy validates tools-spec, not the brief, and the two brief loaders differ (sync vs async, isControlCorpus vs unchecked parseJsonAs), so at most a validate-brief-or-throw helper in brief-validator.ts for the brief sites fits, not one owner for all three.
e7ae24d65285	identity-without-owner	no	judge:opus-5.5	The literal is the public bundle-layout path itself, used both as a finding/routing path and as a join segment, so a named constant adds an import across author, run and truth without making any site clearer.
f3908f5e3e76	superseded-schema-tag	no	judge:opus-5.5	This is a read-only outcome report over recorded campaign evidence, and the writer still emits v2; historical evidence must stay readable, so the older schema branches are not dead.
35d5464a455a	test-only-export	no	judge:opus-5.5	The wrapper is test-only, but its tests prove the deferred-plan carry and corrupt-file refusal of previousDeferred; the right form drops the wrapper and has the tests call publishAdmissionPointer(prepareAdmissionPointer(...)), keeping the tests.
70cfca136bcd	single-reader-export	no	judge:opus-5.5	claude-bash-gate.ts is a focused 37-line module whose header carries the why (settingSources: [] means the SDK callback must apply the guard, Safeguard 32); folding it into the 428-line claude-backend.ts buries that rationale without cutting any logic.
bd86593714a5	unread-field	yes	judge:opus-5.5	allowEmpty is never set by either OAuth flow (anthropic.ts and openai-codex.ts pass only message and placeholder) and no onPrompt implementation reads it, so the optional field is dead.
89450bb93434	compatibility-path	no	judge:opus-5.5	legacy-incomplete is the documented explicit state for historical Luna report folders that predate launch.json (whole-run-investigation SKILL.md, wri-report-validation test); deleting it would make older recorded evidence unreadable rather than labelled.
482138450b72	identity-without-owner	no	judge:opus-5.5	protectedFile and readers.ts classify paths by many literal fragments (/grader/, /judge/, /claims/ ...); naming only /judge/controls/ as a constant would make one fragment of the vocabulary read differently from its neighbours without a real owner gain.
dc4e9038d156	identity-without-owner	no	judge:opus-5.5	agent/tools.ts is the public bundle filename spelled in prompt text, finding paths and an OWNER_FILES table beside the other bundle paths as literals; one constant for this path alone would not read better and the prompt strings would still spell it.
c052299cc172	identity-without-owner	no	judge:opus-5.5	the writer is a .claude skill script (launch.ts, which spells every .scratch/quick-run/* sibling inline) and the reader tools/runs/discover.ts already names it LAUNCH_RECEIPT; sharing a constant would couple a skill script to tools/ for one path.
1b0a9bb9dad4	test-only-export	no	judge:opus-5.5	the wrapper is product-dead but its tests carry real coverage of resolveOpenRouterModelPin (dated-snapshot compat inheritance, suffix refusal); the right form deletes the wrapper and points the tests at resolveOpenRouterModelPin(...).model, not deleting the tests.
614261447ca8	copied-block	no	judge:opus-5.5	the flagged copy is only the resolve-artifact-array-or-refuse guard; a helper returning array-or-OperationResult adds a type-branch at each caller for little gain, and the duplication worth an owner is the repeated equalScalars agreement check, a different form.
c665171435db	unproduced-set-member	no	judge:opus-5.5	Altitude is the contract for Builder-authored evaluator issues and STARTER.md's worked example emits altitude: "syntax", so generated evaluators produce it even though no src file does.
1bbba401cff8	copied-block	yes	judge:opus-5.5	query-complexity.mjs already imports modelEmbed and nearest from prose-classify.mjs, and both functions embed an anchor table and slice it into per-name prototypes identically, so one exported prototypes builder in prose-classify.mjs is a clean single owner.
ff76f94967be	rule-without-fixture	no	judge:opus-5.5	The rule is one of the vendored anti-slop set, which gates in .oxlintrc.json with no per-rule fixture harness for any sibling; a lone fixture or removal of a zero-site gating rule buys nothing.
303053b085fa	unproduced-set-member	no	judge:opus-5.5	`per-call` names the default state the doc comment and harness-build's `=== "persistent-primary"` test rely on; dropping it leaves a one-member optional union that reads worse, and the honest form would be a boolean rename, not this removal.
a2efbe4b4121	identity-without-owner	no	judge:opus-5.5	Production spells the literal once, inside the named `attemptLeasePath` helper; the other spellings are tests pinning the on-disk path, which is the contract they should state literally.
b0ad76979b7d	unproduced-set-member	no	judge:opus-5.5	Nothing reads `altitude` at all and every producer writes only "truth", so the right change is removing the whole `altitude` field and `Altitude` type (and the header's syntax line), not leaving a one-member union.
6aa1f975be4d	unproduced-set-member	yes	judge:opus-5.5	No producer, reader, runtime validator or test uses `generated-bundle-mutation`; the union is a closed type only, so the member is dead and its removal changes no prompt digest.
2a80907c031d	superseded-schema-tag	no	judge:opus-5.5	The weekly review runs trace-review from each run's own source worktree, so snapshots from older source trees still carry v1 and this branch is the reader of those recorded bytes.
86bfb40c8187	test-only-export	no	judge:opus-5.5	`builderAccessExpectations` is the backend-neutral access table the alignment test evaluates against each adapter's wall; it guards isolation drift, so deleting it with its test removes a protected guarantee.
6dab7618b2bc	unread-field	no	judge:opus-5.5	`familyDigest` is written through the computed key `${field}Digest` in `boundedIdentity` and persisted in the execution record, so the field is produced evidence, not dead.
7f3713d17787	rule-without-fixture	no	judge:opus-5.5	`no-module-mocking` is a gating rule AGENTS.md names explicitly, with no lint-fixture harness for any vendored rule; neither a one-off fixture nor removal improves the tree.
c1af72e72a82	single-reader-export	yes	judge:opus-5.5	The 20-line policy function has one reader, full-run-build-step.ts (279 lines), and no test imports it; moving it there with its doc comment deletes a file without losing any rule.
6b2baa7ab191	unproduced-set-member	yes	judge:opus-5.5	`human` is documented as produced by no lane and evaluatorIndependence derives only from two pins, so the speculative member can go with its "for completeness" comment.
24c66ae62851	test-only-export	no	judge:opus-5.5	The tests exercise the live probeConformanceWithEvidence path through this thin wrapper; the right form is to point the tests at probeConformanceWithEvidence(...).findings and drop the wrapper, not delete the tests.
2258177c5c6a	copied-block	yes	judge:opus-5.5	Four sites repeat the same read-parse-or-throw-naming-the-file block around parseJsonAs, and one helper taking the file and the consequence text would own it while keeping each message.
387f830d2c1d	compatibility-path	no	judge:opus-5.5	LEGACY_* lets the validator accept review archives written before 2026-09-08, which are historical evidence that must stay readable.
470e2ac009fb	single-reader-export	no	judge:opus-5.5	The one reader, controls.ts, is already 781 lines against the 600-line policy, so folding this in would not read better; any repair is a smaller controls.ts, not a bigger one.
683143c3a7fd	unproduced-set-member	yes	judge:opus-5.5	No producer or test spells task-expectations, and SessionBuildStage is a write-side type with no reader that validates stored stage strings, so the dead member can go.
78fb14269e6e	superseded-schema-tag	no	judge:opus-5.5	The v1 variant types recorded workshop evidence that outcome-scan still reads (test/outcome-scan.test.ts covers a v1 row), so historical runs stay readable.
1b9b4ef4e913	single-reader-export	yes	judge:opus-5.5	resolve-side.ts (138 lines) is the only reader and the comment itself says the pin table belongs to the resolver precedence chain, so the 20-line table moves in cleanly.
7e1eeb087a73	test-only-module	no	judge:opus-5.5	prose-census.mjs is a CLI the whole-run-investigation SKILL.md tells operators to run, so it is used even though only a test imports it.
a34738abc014	compatibility-path	no	judge:opus-5.5	legacy-root and legacy-unbound classify prose captures from older campaign layouts that investigations still read, so they cannot be deleted.
144c9f2b01ae	unread-field	no	judge:opus-5.5	`taskIdDigest` is written through the computed key `${field}Digest` in boundedIdentity and persisted in execution evidence, so removing it from the type would drop a recorded field's declaration.
5b42865e4379	test-only-module	no	judge:opus-5.5	The module is run by the skill's validate-checklist.sh, which SKILL.md names as the campaign's checklist command, so the product-not-running-it premise does not make it dead.
f58f644d0706	orphan-module	no	judge:opus-5.5	It is the node:test suite for the live thread-state.mjs that SKILL.md uses; the right form is to make the suite run (or port it to the Bun wrapper), not to delete the only test of a used script.
b77555e11771	compatibility-path	no	judge:opus-5.5	preGuideLegacyBundle exempts continued epochs whose settled commit predates the guide contract; deleting it outright changes resume behaviour for such workspaces rather than only removing dead reading code.
b31ca52504ad	single-reader-export	no	judge:opus-5.5	The one reader, verification-runner.ts, already carries 559 nonblank lines against the 600 ceiling, so folding the resolver in grows a near-limit file for little gain; if anything, drop the unused missingTools return in place.
5d0002a55394	identity-without-owner	no	judge:opus-5.5	The isolation site is one entry in a deny-prefix list of literal evidence names where a constant reads worse; only the writer/reader pair (census-gate, harness-build, conformance-evidence) would merit a shared name, a different form.
6dadec7bdf6d	superseded-schema-tag	no	judge:opus-5.5	tools/outcome reads recorded campaign evidence, and older builder-session-receipt versions must stay readable for historical runs.
24c4d7f6b65c	rule-without-fixture	no	judge:opus-5.5	No anti-slop rule has a fixture (the plugin is vendored), and no-reflect-apply is a zero-site guard sharing reflect-method with no-reflect-get; singling it out for a fixture or removal is not the change a maintainer would make.
1a8ed11a68b5	rule-without-fixture	no	judge:opus-5.5	no-known-value-widening demonstrably reports on real code (over 200 census hits and scoped exemptions in .oxlintrc), and the vendored plugin has no per-rule fixtures, so the missing test name is not a finding.
41f6890f5fdb	compatibility-path	no	judge:opus-5.5	trace-digest is an investigation reader over recorded runs; legacyExecutionVersion normalises v1-v3 execution records that historical campaigns still contain, so it cannot be deleted without misreading old evidence.
1c6e3882dc08	unproduced-set-member	no	judge:opus-5.5	`task-expectations` and `reject-controls` are also produced by nothing, so the change belongs to one prune of every unproduced SessionBuildStage member (and the anabasis-pipeline stage list), not to this single member.
cd0e0939c2a6	copied-block	yes	judge:opus-5.5	The claims and promotions loops in readCampaign are the same read-all-JSON-in-a-directory body, and one local reader beside `readOptional` would own both.
d2390a21fa00	single-reader-export	yes	judge:opus-5.5	surveyVerifierSource is a 24-line pure helper with one caller in verifier-workshop.ts (386 lines, no frozen budget), so inlining it removes a file and a ledger entry without losing anything.
dde224b90dfa	copied-block	yes	judge:opus-5.5	referenceScope repeats exactRequiredRows' keyed-row walk over the same taskReference fields, so one keyed-rows reader that both call (referenceScope taking its key set) gives the rule one owner.
48d1a7fcdcda	rule-without-fixture	no	judge:opus-5.5	No anti-slop rule in this vendored plugin has a fixture under test/, so adding one for this rule alone is arbitrary, and the rule is enabled as an error in both oxlint configs.
efb13e7c95b0	compatibility-path	no	judge:opus-5.5	LEGACY_IDS validates the migration ledger table that the current system-contract-checklist.md still carries, not leftovers of an older version, so deleting it removes a live check.
365e8e591015	single-reader-export	yes	judge:opus-5.5	draft-summary.ts was split from probes.ts only to get under its frozen budget (commit 9083d0627), which the simplify skill refuses, and 374+39 nonblank lines still fit the 427 limit.
d4d868787eb2	unproduced-set-member	yes	judge:opus-5.5	SteeringObservation categories are built by the readers in code, not parsed from stored evidence, and nothing in the tree produces or reads `outer-repair`.
5a27515ad670	identity-without-owner	no	judge:opus-5.5	Most spellings are prompt text, error messages and path segments, where a constant reads worse; the only real duplicate is inside conformance-evidence.ts, where readBoundConformance should call toolsSpecHashOf.
8420eb93f201	copied-block	no	judge:opus-5.5	The two branches differ only in their container guard, so the better form merges them into one guarded tail inside the loop, not a separate function both call.
32cab6a3817a	compatibility-path	no	judge:opus-5.5	The legacy suffixes keep recorded pre-2026-09-04 runs readable (they exempt old batteries from the record requirement and locate the contest record), and historical evidence must stay readable, so outright deletion would break reading controller output.
c7af1958926b	rule-without-fixture	no	judge:opus-5.5	The rule is live and gating over the whole tree through .oxlintrc.json, and no anti-slop rule has a fixture, so adding one for this rule alone adds test weight without changing a decision and removal is wrong.
95c944130cde	single-reader-export	no	judge:opus-5.5	The file is a self-contained log-only safeguard sensor that is retired by deleting its file, and folding it into the 596-line controller-evidence.ts would press that file against the 600-line limit while mixing the sensor into the evidence owner.
a8ae5338e8a9	copied-block	no	judge:opus-5.5	The two blocks validate different documents with different validators and result types (tools spec vs brief), so one owner would need a generic validate-or-throw helper that saves little and reads no better than the two local throws.
458bcfd603f7	superseded-schema-tag	no	judge:opus-5.5	The v1 branch is torn-install crash recovery that restores an archived current from a journal an older writer could leave behind, so removing it changes rollback behaviour a guarantee protects rather than cutting a dead reader.
998c9ddbcdb9	test-only-export	no	judge:opus-5.5	The wrapper's test exercises the live workspaceResidual policy (relative rm operands, traversal and home refusals), so deleting it with its test loses coverage of product logic; the right form would test workspaceResidual or the guard directly.
c98a24091440	rule-without-fixture	no	judge:opus-5.5	The rule is live and gating over the whole tree through .oxlintrc.json, and no anti-slop rule has a fixture, so a lone fixture adds weight without changing a decision and removal is wrong.
ab8a902fad69	identity-without-owner	no	judge:opus-5.5	The child has top-level stdin side effects and deliberately imports nothing heavy into its empty-environment process, so neither side can import the other's constant; one owner would require a new protocol module, not the proposed direct reuse.
59aecf0cb5a2	orphan-module	yes	judge:opus-5.5	Nothing in the tree, including its own SKILL.md, names lane-collect.mjs, it is a Node script in a Bun-only repository with a hard-coded broker path, and Codex transport is owned by codex-luna-swarm.
2e5e74691844	unread-field	yes	judge:opus-5.5	BuildDeps is only used through indexed access to probeSolvability and evaluate, so no object ever supplies or reads solvabilityPolicy and the field is dead.
cb68b1b486a9	compatibility-path	no	judge:opus-5.5	LegacyRungDecisionEvidence is the shape sealDifficultyDecision still writes today (schema rung-decision/v1 with the rung key), not a reader of older leftovers, so it cannot be deleted outright.
4cd518eda7a3	copied-block	yes	judge:opus-5.5	Both collect functions carry the identical three-line status tally producing the same "statuses:" reason, and common.mjs already holds the shared review-yield helpers where one statusReason(rows) could live.
3979eb405946	unproduced-set-member	yes	judge:opus-5.5	No producer or test ever sets stage "reject-controls" on SessionBuildStage, so the member is a dead label; remove it together with its mention in the anabasis-pipeline stage diagram.
80e8db4bec8f	compatibility-path	no	judge:opus-5.5	"legacy-root" is still produced by campaign-epoch.ts for campaigns that predate epochs, so this guard is not an orphaned legacy path; deleting it alone removes nothing, and the real removal would be the pre-epoch support in campaign-epoch.ts.
c2914d8ea317	copied-block	yes	judge:opus-5.5	markdownSummary and markdownDiff format each item with the byte-identical three-line paths/text/push sequence in the same file, so one itemLine(item) helper removes a real copy without changing output.
19106651ea90	identity-without-owner	no	judge:opus-5.5	Only two spellings of the directory prefix, each clear in its own list, and the proposal would need a new directory constant beside bundle-layout's file constants (together with "agent/") rather than just naming this literal; not worth it as proposed.
facfbc01987d	identity-without-owner	no	judge:opus-5.5	A versioned schema literal is self-describing, so naming it as a constant adds nothing; the real duplication is the v1-or-v2 acceptance test in controller-evidence and controller-watchdog-evidence, which would take a shared predicate instead.
21648110a247	test-only-export	yes	judge:opus-5.5	makeProbeReferenceSolve has no product caller (deviations.yaml records it as dropped with the authoring arm) and still reads the old grader/ layout, so it and its truth-probes test cases should go.
24a01e1f14b9	superseded-schema-tag	no	judge:opus-5.5	READABLE_CASE_TRACE_SCHEMAS lets trace-read and case-trace-pointer read recorded v1/v2 traces of historical runs, and dropping them would make recorded evidence unreadable to replay and outcome readers.
289a2e57b0b6	rule-without-fixture	no	judge:opus-5.5	No rule in the vendored anti-slop plugin has a fixture, and this one is evidently live through the scoped disable/enable pair in src/solve/task-access-trace.ts, so a lone fixture or removal is not the right change.
48092d298d7d	rule-without-fixture	no	judge:opus-5.5	The rule is live at error in .oxlintrc.json and gates the tree, a fifteen-line substring check like its fifteen untested sibling anti-slop rules, so a fixture adds little and removal would drop an enforced operator rename policy.
39c61d6275ff	test-only-export	no	judge:opus-5.5	The export only backs one precondition assertion inside a larger builder-campaign test helper, so the right form is dropping the export and that one expect line, not removing "its test".
3f6517ab95aa	test-only-module	no	judge:opus-5.5	src/meta/assert.ts is the shared Bun assertion shim imported by four skill-script test files that test live scripts, so deleting it with those tests would remove real coverage.
1ee6a46cdad8	unproduced-set-member	yes	judge:opus-5.5	No production file emits phase "critic", the UI's own phase lists do not name it either, so the writer-side union member is dead vocabulary that can go.
ba50c7ea127c	compatibility-path	no	judge:opus-5.5	LEGACY_ROWS_MISSING lets joinedControllerDenominator read terminals recorded by an older writer, and recorded historical evidence must stay readable, so the acceptance cannot be deleted outright.
c6d7b20d035a	compatibility-path	no	judge:opus-5.5	tools/outcome/builder-execution-facts.ts reads v1 and v2 builder-execution records from recorded runs through this constant, so removing it breaks reading historical evidence.
fc4f54ecf7db	copied-block	no	judge:opus-5.5	The walk's copy sits between a filesystem-boundary check and a different refusal message and keeps the bigint stat for mode, so folding it into snapshotReadRootPath would change attestation error order and text for a three-line saving.
2a15e872a112	superseded-schema-tag	no	judge:opus-5.5	campaign-terminal/v1 is still an accepted recorded schema across controller-evidence.ts and campaign-budget-evidence.ts, so dropping it at this one watchdog reader would refuse historical terminals the other readers accept.
5c0e36d96c01	test-only-module	yes	judge:opus-5.5	publicArtifactSchemaDegeneracies has no product caller since its refusal was unwired, so the module and its test cases in solve-side and solvability tests are dead and should go together.
d02946edbe32	orphan-module	yes	judge:opus-5.5	prose-classify.mjs with its own package.json and model dependency is named by no skill, script or document, so the orphaned classifier directory should be removed.
